id;jhi_user_id;role;phone_number;avatar_url;locale;last_login_at;two_factor_enabled;two_factor_secret;active;company_id
1;quant à;ADMIN;précipiter;aussitôt que;tchou tcho;2026-04-08T04:00:06;true;électorat;true;1
2;prout prestataire de services;SUPER_ADMIN;propre après que;mince hypocrite;aux alento;2026-04-08T16:12:38;false;pour que davantage;true;2
3;magnifique;EMPLOYE;à bas de lâche;arrière;au point q;2026-04-08T13:46:23;false;dès que athlète dynamique;true;3
4;jeune étant donné que déjà;SUPER_ADMIN;sur alors que smack;entièrement vis-à-vie de;secouriste;2026-04-07T21:13:23;false;formuler au point que transporter;true;4
5;tant cot cot collègue;RH_COMPTABLE;contredire en plus d;bang juriste;avant de m;2026-04-08T04:17:40;false;police géométrique;false;5
6;en outre de âcre;EMPLOYE;loin de vite;du fait que durant;du moment ;2026-04-08T15:10:48;false;à force de;true;6
7;altruiste pff espiègle;SUPER_ADMIN;maintenant au lieu d;alors que où de peur de;alors que ;2026-04-08T10:47:57;false;réagir guide actionnaire;false;7
8;alentour;ADMIN;affable;foule patientèle;sincère;2026-04-07T22:44:14;false;vétuste d'après à force de;false;8
9;gai même si;ADMIN;paf vouh pour;consulter présidence;solitaire;2026-04-08T17:38:51;true;pendant que;true;9
10;fouiller triathlète;EMPLOYE;outre toc-toc groin ;calmer grrr;apparemmen;2026-04-08T12:56:34;false;tellement;true;10
11;snif drelin;MANAGER;euh circulaire cadre;exciter;produire;2026-04-07T19:53:03;false;gai marron;true;11
12;malgré;MANAGER;dès hormis;vendre coac coac;quand fonc;2026-04-08T17:52:53;true;tant;false;12
13;a;EMPLOYE;de manière à;au défaut de;ouah;2026-04-08T13:09:06;true;vétuste à raison de gigantesque;false;13
14;boire d'abord;EMPLOYE;au-dessus orange hie;charger;remercier;2026-04-08T13:42:26;false;fort;true;14
15;mélancolique;RH_COMPTABLE;boum envers diplomat;solitaire boum très;là prestat;2026-04-07T19:09:40;true;mélancolique;false;15
16;flotter;RH_COMPTABLE;que comme à la faveu;à l'égard de;bof;2026-04-08T15:24:27;false;comme;false;16
17;conseiller après-demain clientèle;SUPER_ADMIN;chut;chut suivant rectorat;pas mal pa;2026-04-07T22:53:18;false;exploiter au-dessus;true;17
18;deçà biathlète;SUPER_ADMIN;clientèle électorat;tant;souple apr;2026-04-08T07:03:19;true;combien;false;18
19;oups;ADMIN;dans la mesure où ab;prestataire de services spécialiste;broum quan;2026-04-08T05:07:05;false;quand pschitt;true;19
20;toc;EMPLOYE;rédiger trop du fait;touchant jusque;assez;2026-04-08T03:13:38;true;antagoniste appeler;false;20
21;badaboum;MANAGER;raccrocher;émérite;après que ;2026-04-08T15:13:26;true;de façon que;false;21
22;dring embrasser avant;RH_COMPTABLE;hors de jeune enfant;aventurer en guise de dessous;tellement ;2026-04-07T20:23:18;false;du moment que;false;22
23;suffisamment;ADMIN;smack altruiste;diététiste promettre atchoum;par suite ;2026-04-07T18:24:08;true;rudement;true;23
24;corps enseignant;SUPER_ADMIN;affronter ronron aus;délégation dès que suffisamment;personnel ;2026-04-08T09:00:57;true;ensuite renaître antique;false;24
25;glouglou au point que puis;RH_COMPTABLE;comme;fonctionnaire blablabla énorme;rectorat m;2026-04-08T03:25:20;false;cadre doubler souple;false;25
26;tant à demi;ADMIN;équiper actionnaire;vroum;calme maig;2026-04-08T10:58:40;true;parlementaire lorsque;false;26
27;au-dedans de camarade membre du personnel;RH_COMPTABLE;au point que athlète;de manière à assez psitt;bien que s;2026-04-08T17:08:53;false;de par assez;false;27
28;areu areu;SUPER_ADMIN;enfermer;adorable dissiper;triathlète;2026-04-08T02:20:22;true;vide de façon à ce que à moins de;true;28
29;contre touchant que;RH_COMPTABLE;ainsi orange cyan;ouf terne biathlète;rudement;2026-04-07T21:35:18;false;laisser à même;false;29
30;pacifique administration;MANAGER;doucement tellement;vu que propre;commencer ;2026-04-08T04:49:02;false;pourpre crac charitable;true;30
